atualizacao,id_linha,uf,municipio,empreendimento,eixo,subeixo,modalidade,classificacao,estagio,valor_total_rs,execucao_fisica_pct,ano_prev_conclusao,tipo_executor,link,inclusao_novo_pac,fontes_financiamento,ministerio,atualizacao_str,municipio_upper
2026-03-01,15055,RS,Bagé,"Construção de 4 (Quatro) Reservatórios Metálicos para Abastecer os Bairros Ivo Ferronato e Região, São domingos, Floresta e Tiaraju",Água Para Todos,Abastecimento de água,Seleção 2023 - Abastecimento de Água,Obra,Em licitação / Leilão,2947017.93,0.0,2026,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,BAGÉ
2026-03-01,28930,RS,Cerro Branco,Interligação de Rede de Água e Armazenamento na Área Urbana,Água Para Todos,Abastecimento de água,Seleção 2023 - Abastecimento de Água,Obra,Em execução,1373401.68,0.0,2027,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,CERRO BRANCO
2026-03-01,1874,RS,Novo Hamburgo,Ampliação do Sistema de Abastecimento de Água (SAA),Água Para Todos,Abastecimento de água,"Retomada, conclusão e novas obras - Abastecimento de Água",Obra,Em ação preparatória,6881045.0,66.16,2028,Municipal,Mais Informações,Planejamento Setorial,FIN,MCID,2026-03-01,NOVO HAMBURGO
2026-03-01,1872,RS,Pelotas,Ampliação do Sistema de Abastecimento de Água (SAA),Água Para Todos,Abastecimento de água,"Retomada, conclusão e novas obras - Abastecimento de Água",Obra,Concluído,891421.03,100.0,2024,Municipal,Mais Informações,Planejamento Setorial,OGU,MCID,2026-03-01,PELOTAS
2026-03-01,1506,RS,Porto Alegre,Ampliação do Sistema de Abastecimento de Água (SAA) São João,Água Para Todos,Abastecimento de água,"Retomada, conclusão e novas obras - Abastecimento de Água",Obra,Em execução,58247653.0,85.38,2027,Municipal,Mais Informações,Planejamento Setorial,FIN,MCID,2026-03-01,PORTO ALEGRE
2026-03-01,1880,RS,Porto Alegre,Ampliação do Sistema de Abastecimento de Água (SAA) Ponta do Arado,Água Para Todos,Abastecimento de água,"Retomada, conclusão e novas obras - Abastecimento de Água",Obra,Em execução,172779022.0,44.27,2027,Municipal,Mais Informações,Planejamento Setorial,FIN,MCID,2026-03-01,PORTO ALEGRE
2026-03-01,65,RS,São José das Missões,Abastecimento de Água - Urbano,Água Para Todos,Abastecimento de água,Seleção 2023 - Abastecimento de Água,Obra,Em execução,400000.0,0.0,2026,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,SÃO JOSÉ DAS MISSÕES
2026-03-01,1952,RS,São Leopoldo,Ampliação Reservação Zona Norte,Água Para Todos,Abastecimento de água,Seleção 2023 - Abastecimento de Água,Obra,Em licitação / Leilão,55952324.15,0.0,2027,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,SÃO LEOPOLDO
2026-03-01,3059,RS,Teutônia,Aquisição e Construção de dois (02) Reservatórios de Água,Água Para Todos,Abastecimento de água,Seleção 2023 - Abastecimento de Água,Obra,Concluído,850000.0,100.0,2025,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,TEUTÔNIA
2026-03-01,28827,RS,Teutônia,Instalação de Poços Artesianos - Bairro Canabarro,Água Para Todos,Abastecimento de água,Seleção 2023 - Abastecimento de Água,Obra,Em execução,650000.0,0.0,2027,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,TEUTÔNIA
2026-03-01,26295,RS,Tio Hugo,Implantação de Sistema de Abastecimento de Água - SAA,Água Para Todos,Abastecimento de água,Seleção 2023 - Abastecimento de Água,Obra,Em licitação / Leilão,606000.0,0.0,2026,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,TIO HUGO
2026-03-01,29408,RS,Vera Cruz,Substituição da Adutora de Água Tratada Fonte Diehl,Água Para Todos,Abastecimento de água,Seleção 2023 - Abastecimento de Água,Obra,Em licitação / Leilão,5173395.82,0.0,2026,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,VERA CRUZ
2026-03-01,29450,RS,"Barros Cassal, Cristal do Sul, Fontoura Xavier, Ibirapuitã, Amaral Ferrador","Sistemas de abastecimento de água em áreas rurais de Barros Cassal, Cristal do Sul, Fontoura Xavier, Ibirapuitã, Amaral Ferrador",Água Para Todos,Água para quem mais precisa,Seleção 2023 - Abastecimento de água - Rural,Obra,Em licitação / Leilão,1499954.33,0.0,2027,Estadual,Mais Informações,Seleção,OGU,MCID,2026-03-01,"BARROS CASSAL, CRISTAL DO SUL, FONTOURA XAVIER, IBIRAPUITÃ, AMARAL FERRADOR"
2026-03-01,29490,RS,Caxias do Sul,Sistemas de abastecimento de água em áreas rurais de Caxias do Sul,Água Para Todos,Água para quem mais precisa,Seleção 2023 - Abastecimento de água - Rural,Obra,Em licitação / Leilão,1629826.47,0.0,2027,Estadual,Mais Informações,Seleção,OGU,MCID,2026-03-01,CAXIAS DO SUL
2026-03-01,29524,RS,Formigueiro,Sistemas de abastecimento de água em áreas rurais de Formigueiro,Água Para Todos,Água para quem mais precisa,Seleção 2023 - Abastecimento de água - Rural,Obra,Em licitação / Leilão,562131.52,0.0,2027,Estadual,Mais Informações,Seleção,OGU,MCID,2026-03-01,FORMIGUEIRO
2026-03-01,26538,RS,Bagé,Implantação do Sistema de Esgotamento Sanitário - SES no Bairro Castro,Cidades Sustentáveis e Resilientes,Esgotamento sanitário,Seleção 2023 - Esgotamento Sanitário,Obra,Em execução,6382021.75,0.0,2029,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,BAGÉ
2026-03-01,3936,RS,Bento Gonçalves,Saneamento Integrado no Bairro Recanto da Aurora,Cidades Sustentáveis e Resilientes,Esgotamento sanitário,"Retomada, conclusão e novas obras - Esgotamento Sanitário",Obra,Concluído,0.0,100.0,2024,Municipal,Mais Informações,Planejamento Setorial,OGU,MCID,2026-03-01,BENTO GONÇALVES
2026-03-01,1734,RS,Novo Hamburgo,Ampliação do Sistema de Esgotamento Sanitário (SES) - Bacia do Arroio Luiz Rau e do Arrio Pampa,Cidades Sustentáveis e Resilientes,Esgotamento sanitário,"Retomada, conclusão e novas obras - Esgotamento Sanitário",Obra,Em ação preparatória,26237330.0,41.38,2030,Municipal,Mais Informações,Planejamento Setorial,FIN,MCID,2026-03-01,NOVO HAMBURGO
2026-03-01,5283,RS,Passo Fundo,Implantação do Sistema de Esgotamento Sanitário (SES) na Bacia Pinheiro Torto,Cidades Sustentáveis e Resilientes,Esgotamento sanitário,"Retomada, conclusão e novas obras - Esgotamento Sanitário",Obra,Em execução,43868202.0,55.93,2029,Estadual,Mais Informações,Planejamento Setorial,FIN,MCID,2026-03-01,PASSO FUNDO
2026-03-01,3765,RS,Pelotas,Implantação da Estação de Tratamento de Esgoto (ETE) Novo Mundo,Cidades Sustentáveis e Resilientes,Esgotamento sanitário,"Retomada, conclusão e novas obras - Esgotamento Sanitário",Obra,Concluído,673689.54,100.0,2025,Municipal,Mais Informações,Planejamento Setorial,OGU,MCID,2026-03-01,PELOTAS
2026-03-01,29847,RS,Pinhal,Sistema de Coleta do Esgoto Sanitário - Rede Coletora,Cidades Sustentáveis e Resilientes,Esgotamento sanitário,Seleção 2023 - Esgotamento Sanitário,Obra,Em licitação / Leilão,3326989.1,0.0,2027,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,PINHAL
2026-03-01,15777,RS,Ponte Preta,"Continuação do Sistema de Esgoto Sanitário - Bacias B1, B2, B3",Cidades Sustentáveis e Resilientes,Esgotamento sanitário,Seleção 2023 - Esgotamento Sanitário,Obra,Em ação preparatória,2890000.0,0.0,2027,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,PONTE PRETA
2026-03-01,1584,RS,Rolante,Ampliação do Sistema de Esgotamento Sanitário (SES),Cidades Sustentáveis e Resilientes,Esgotamento sanitário,"Retomada, conclusão e novas obras - Esgotamento Sanitário",Obra,Em ação preparatória,7371255.74,45.84,2026,Municipal,Mais Informações,Planejamento Setorial,OGU,MCID,2026-03-01,ROLANTE
2026-03-01,1804,RS,Santa Maria,"Ampliação do Sistema de Esgotamento Sanitário (SES) nas Vilas Jockey Club, Tomaz, Alegria e Medianeira",Cidades Sustentáveis e Resilientes,Esgotamento sanitário,"Retomada, conclusão e novas obras - Esgotamento Sanitário",Obra,Em execução,77937947.0,43.67,2030,Estadual,Mais Informações,Planejamento Setorial,FIN,MCID,2026-03-01,SANTA MARIA
2026-03-01,1554,RS,Sant'Ana do Livramento,Ampliação do Sistema de Esgotamento Sanitário (SES),Cidades Sustentáveis e Resilientes,Esgotamento sanitário,"Retomada, conclusão e novas obras - Esgotamento Sanitário",Obra,Em execução,10327300.42,71.42,2026,Municipal,Mais Informações,Planejamento Setorial,OGU,MCID,2026-03-01,SANT'ANA DO LIVRAMENTO
2026-03-01,1564,RS,São Leopoldo,Ampliação do Sistema de Esgotamento Sanitário (SES),Cidades Sustentáveis e Resilientes,Esgotamento sanitário,"Retomada, conclusão e novas obras - Esgotamento Sanitário",Obra,Em execução,74942831.08,15.8,2029,Municipal,Mais Informações,Planejamento Setorial,OGU,MCID,2026-03-01,SÃO LEOPOLDO
2026-03-01,25813,RS,São Leopoldo,Execução de Bacia de Esgotamento Sanitário - SES Santos Dumont,Cidades Sustentáveis e Resilientes,Esgotamento sanitário,Seleção 2023 - Esgotamento Sanitário,Obra,Em licitação / Leilão,75687613.23,0.0,2027,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,SÃO LEOPOLDO
2026-03-01,1688,RS,Uruguaiana,Ampliação do Sistema de Esgotamento Sanitário (SES),Cidades Sustentáveis e Resilientes,Esgotamento sanitário,"Retomada, conclusão e novas obras - Esgotamento Sanitário",Obra,Concluído,3245405.0,100.0,2024,Privado,Mais Informações,Planejamento Setorial,FIN,MCID,2026-03-01,URUGUAIANA
2026-03-01,30880,RS,"Ametista do Sul, Barra do Guarita, Boa Vista das Missões, Caiçara, Cerro Grande, Coronel Bicaco, Cristal do Sul, Derrubadas, Dois Irmãos das Missões, Erval Seco, Frederico Westphalen, Iraí, Jaboticaba, Lajeado do Bugre, Miraguaí, Novo Tiradentes, Palmitinho, Pinhal, Pinheirinho do Vale, Planalto, Redentora, Rodeio Bonito, Sagrada Família, São Pedro das Missões, Seberi, Taquaruçu do Sul, Tenente Portela, Vicente Dutra, Vista Alegre, Vista Gaúcha",Otimização e Ampliação do Processo de Compostagem dos Resíduos Orgânicos no Consórcio Intermunicipal de Gestão de Resíduos Sólidos – CIGRES.,Cidades Sustentáveis e Resilientes,Gestão de Resíduos Sólidos,Seleção 2023 - Gestão de Resíduos Sólidos,Obra,Em licitação / Leilão,834885.25,0.0,2027,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,"AMETISTA DO SUL, BARRA DO GUARITA, BOA VISTA DAS MISSÕES, CAIÇARA, CERRO GRANDE, CORONEL BICACO, CRISTAL DO SUL, DERRUBADAS, DOIS IRMÃOS DAS MISSÕES, ERVAL SECO, FREDERICO WESTPHALEN, IRAÍ, JABOTICABA, LAJEADO DO BUGRE, MIRAGUAÍ, NOVO TIRADENTES, PALMITINHO, PINHAL, PINHEIRINHO DO VALE, PLANALTO, REDENTORA, RODEIO BONITO, SAGRADA FAMÍLIA, SÃO PEDRO DAS MISSÕES, SEBERI, TAQUARUÇU DO SUL, TENENTE PORTELA, VICENTE DUTRA, VISTA ALEGRE, VISTA GAÚCHA"
2026-03-01,30882,RS,"Bom Progresso, Braga, Campo Novo, Coronel Bicaco, Crissiumal, Esperança do Sul, Humaitá, Sede Nova, São Martinho, São Valério do Sul, Tiradentes do Sul, Três Passos",Qualificação e Ampliação do Processo de Compostagem dos Resíduos Orgânicos no Consórcio Intermunicipal de Gestão Multifuncional-CITEGEM.,Cidades Sustentáveis e Resilientes,Gestão de Resíduos Sólidos,Seleção 2023 - Gestão de Resíduos Sólidos,Obra,Em licitação / Leilão,1033153.45,0.0,2027,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,"BOM PROGRESSO, BRAGA, CAMPO NOVO, CORONEL BICACO, CRISSIUMAL, ESPERANÇA DO SUL, HUMAITÁ, SEDE NOVA, SÃO MARTINHO, SÃO VALÉRIO DO SUL, TIRADENTES DO SUL, TRÊS PASSOS"
2026-03-01,19637,RS,"Alvorada, Porto Alegre, Viamão","Duplicação da estrada Caminho do Meio que liga POA, Alvorada e Viamão com implantação de faixa exclusiva",Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Seleção 2023 - Mobilidade Urbana Sustentável,Obra,Em ação preparatória,25000000.0,0.0,2027,Estadual,Mais Informações,Seleção,OGU,MCID,2026-03-01,"ALVORADA, PORTO ALEGRE, VIAMÃO"
2026-03-01,25706,RS,Cachoeirinha,Estudos e Projetos - Faixa Exclusiva,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Seleção 2023 - Mobilidade Urbana Sustentável,Estudo / Projeto / Plano,Em licitação / Leilão,2175333.92,0.0,2027,Estadual,Mais Informações,Seleção,OGU,MCID,2026-03-01,CACHOEIRINHA
2026-03-01,25718,RS,Porto Alegre,Estudos e Projetos - Implantação e Requalificação de Terminais,Cidades Sustentáveis e Resilientes,Mobilidade Urbana Sustentável,Seleção 2023 - Mobilidade Urbana Sustentável,Estudo / Projeto / Plano,Em licitação / Leilão,2700000.0,0.0,2026,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,PORTO ALEGRE
2026-03-01,30435,RS,Bento Gonçalves,Regularização Fundiária,Cidades Sustentáveis e Resilientes,Periferia Viva - Urbanização de Favelas,Seleção 2023 - Regularização Fundiária,Estudo / Projeto / Plano,Em execução,400000.0,4.54,2026,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,BENTO GONÇALVES
2026-03-01,30463,RS,Canoas,Regularização Fundiária,Cidades Sustentáveis e Resilientes,Periferia Viva - Urbanização de Favelas,Seleção 2023 - Regularização Fundiária,Estudo / Projeto / Plano,Em licitação / Leilão,924882.47,0.0,2026,Municipal,Mais Informações,Seleção,OGU,MCID,2026-03-01,CANOAS
